game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,game_event_id,minute,type_y,player_id_y,description,player_in_id,player_assist_id,appearance_id,player_id,date,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_y,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2222734,RU1,2012,19. Matchday,2012-12-07,2,3,11.0,10.0,Miodrag Bozovic,Slavoljub Muslin,Olimp-2,5700.0,Sergey Kuznetsov,FK Rostov,FK Krasnodar,02:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2222734_104203,104203,2012-12-07,0,0,0,0,38,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,4489216.076402706,500000.0,2024-06-30,Prosport
2224572,DK1,2012,3. Matchday,2012-07-28,1,2,12.0,1.0,Jess Thorup,Lars Sondergaard,Blue Water Arena,5345.0,Michael Svendsen,Esbjerg fB,Sonderjyske Fc,01:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2224572_161244,161244,2012-07-28,0,0,0,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,4489216.076402706,750000.0,2024-06-30,Wasserman
2224628,DK1,2012,22. Matchday,2013-03-08,2,0,3.0,10.0,Colin Todd,Lars Sondergaard,Cepheus Park Randers,3481.0,Jakob Kehlet,Randers Fodbold Club,Sonderjyske Fc,02:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2224628_46472,46472,2013-03-08,0,0,0,0,18,Charlie Davies,2013,5724,charlie-davies,United States,1986-06-25,Centre-Forward,Attack,right,178.0,4489216.076402706,2200000.0,2024-06-30,Wasserman
2224655,DK1,2012,22. Matchday,2013-03-10,0,3,6.0,12.0,Peter Rensen,Auri Skarbalius,Ceres Park,7967.0,Kenn Hansen,Aarhus Gymnastik Forening,BRA NDBYERNES,00:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2224655_39467,39467,2013-03-10,0,0,0,0,90,Clarence Goodson,2012,206,clarence-goodson,United States,1982-05-17,Centre-Back,Defender,right,193.0,4489216.076402706,1850000.0,2024-06-30,Wasserman
2224729,DK1,2012,1. Matchday,2012-07-15,0,1,9.0,5.0,Auri Skarbalius,Troels Bech,Brondby Stadium,10806.0,Lars Christoffersen,Brondby IF,Odense Boldklub,00:01:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2224729_39467,39467,2012-07-15,0,0,0,0,90,Clarence Goodson,2012,206,clarence-goodson,United States,1982-05-17,Centre-Back,Defender,right,193.0,4489216.076402706,1850000.0,2024-06-30,Wasserman
2224732,DK1,2012,1. Matchday,2012-07-14,6,1,1.0,12.0,Lars Sondergaard,Colin Todd,Sydbank Park,2995.0,Claus Bo Larsen,Sonderjyske Fc,Randers Fodbold Club,06:01:00,domestic_league,d9f02a9d767f319e58909ba1e1de6d23,50.0,Goals,161244.0,", Long distance kick, 1. Goal of the Season Assist:",152762.01347708894,53307.31724137931,2224732_161244,161244,2012-07-14,0,0,1,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,4489216.076402706,750000.0,2024-06-30,Wasserman
2224902,BE1,2012,24. Matchday,2013-01-26,0,2,4.0,1.0,Peter Maes,John van den Brom,Daknamstadion,7877.0,Peter Vervecken,KSC Lokeren (- 2020),Royal Sporting Club Anderlecht,00:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2224902_39475,39475,2013-01-26,0,0,0,0,90,Sacha Kljestan,2014,58,sacha-kljestan,United States,1985-09-09,Attacking Midfield,Midfield,both,185.0,4489216.076402706,3000000.0,2024-06-30,Wasserman
2225471,GB1,2012,4. Matchday,2012-09-15,2,0,14.0,5.0,Paul Lambert,Michael Laudrup,Villa Park,34005.0,Lee Mason,Aston Villa Football Club,Swansea City,02:00:00,domestic_league,bec21e402284c604b204b08f0d47d0a3,80.0,Cards,61575.0,"2. Yellow card  , Foul",152762.01347708894,53307.31724137931,2225471_39471,39471,2012-09-15,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
2225471,GB1,2012,4. Matchday,2012-09-15,2,0,14.0,5.0,Paul Lambert,Michael Laudrup,Villa Park,34005.0,Lee Mason,Aston Villa Football Club,Swansea City,02:00:00,domestic_league,bec21e402284c604b204b08f0d47d0a3,80.0,Cards,61575.0,"2. Yellow card  , Foul",152762.01347708894,53307.31724137931,2225471_61575,61575,2012-09-15,1,0,0,0,90,Eric Lichaj,2020,6646,eric-lichaj,United States,1988-11-17,Right-Back,Defender,right,180.0,4489216.076402706,2000000.0,2024-06-30,Unique Sports Group
2225555,GB1,2012,14. Matchday,2012-11-27,1,0,17.0,19.0,Paul Lambert,Brian McDermott,Villa Park,28692.0,Lee Probert,Aston Villa Football Club,Reading FC,01:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2225555_39471,39471,2012-11-27,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
